gene_name rank count
NUP85 301 2
HID1 281.5 1
TSEN54 281.5 1
PPME1 166.5 6
RAB6A 165.5 10
POLD3 158.5 9
TPH2 16 2
RIMS1 10 1
TRHDE 10 4
KLF9 51 1
UNC5B 60.5 1
RELT 32 1
CXCL1 74.5 3
ANKRD17 73 4
KCNQ5 15.5 2
RPS3 222.5 6
SPCS2 207.5 4
ABCB7 51 1
COA4 79 1
MRPL48 70 1
TRPM3 10 1
ZFAND5 68.5 1
ATXN7L3B 10 6
KLF12 10 1
KRR1 47 3
MTHFD2L 83 1
ECD 50 1
GLIPR1L1 27.5 3
GDPD5 98 2
TMEM70 53.5 2
UVRAG 99 5
JPH1 35 1
BCAR1 116.5 1
CFDP1 113 1
GLIPR1 54.5 1
KCNC2 10 1
UCHL3 27.5 1
CAPS2 15.5 2
HNF4G 39 4
BTC 10 1
LHX8 15 1
SLC44A5 15 1
BIRC5 132.5 2
USP36 118.5 1
TSKU 62 1
CHCHD1 79.5 1
PLAU 75 1
EVA1A 10 1
VCL 22 3
FRG2C 15 1
ZNF717 15 1
C11orf30 22 1
G3BP2 39.5 1
VDAC2 57 3
DUSP13 28.5 1
RABGGTB 35.5 1
ZFHX4 15.5 3
BBS10 17.5 2
ZZZ3 58 1
PEX2 20 3
E2F7 38 4
NUP54 96.5 1
SDAD1 92.5 1
OSBPL8 10 1
FBXL3 54.5 1
CCNI 54 1
CLNS1A 29.5 3
SHROOM3 16.5 1
C10orf11 10 1
NAV3 10 11
CYSLTR1 23 1
NDUFC2 50 1
SNW1 147 1
AHSA1 142 1
SLIRP 135.5 1
OSTF1 16.5 1
DLG5 56.5 3
KCNMA1 17.5 2
TENM4 10 6
MAGI2 10 1
PPP1R12A 33 4
POLR3A 35 3
RPS24 35 5
MRPL1 23 1
RFK 52 1
WWOX 10 1
BMP2K 48 1
POU4F1 17 1
SYT1 10 6
BRWD3 28 1
IL7 21 2
PHIP 23.5 1
CD36 22 3
ZMIZ1 71.5 7
PAWR 26.5 2
PPIF 91 2
PCF11 37 2
TBCD 83 1
WDR45B 79 2
PTPRQ 33 2
ZCCHC9 35 1
SPRY2 10 1
ARNT2 17 1
MYF5 42.5 3
OTOGL 44 2
LIN7A 44 2
ZBTB10 87.5 5
MRPS28 81.5 3
PAG1 32 1
MYF6 21.5 1
TPD52 20.5 1
CHMP4C 103 2
CCDC59 57.5 7
GBE1 10 1
ACSS3 15.5 1
PPFIA2 15.5 5
ZNF704 68 1
PRCP 17.5 2
TLE4 10 1
CACNA2D1 10 1
PCLO 15.5 1
PRKG2 23 1
FAM181B 10 1
TSPAN14 22 1
SEMA3A 21 1
NRG3 10 8
SEMA3E 17.5 1
TMTC2 10 3
CCDC90B 27 1
DLG2 10 7
PGM3 81 2
ME1 77 1
CADM2 31 7
RALYL 10 3
CREBZF 51 3
SEMA3D 10 4
